date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:54	168/168	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Aug%202016%2002:24:54%20GMT	http://mitlaunch.com/robots.txt		(from )
22:24:55	13848/13848	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2022%20Aug%202016%2002:24:54%20GMT	http://mitlaunch.com/	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/index.html	(from )
22:24:55	95821/95821	U-----	200	untouched ('')	application/javascript	etag:%2254499a48-1764d%22	http://code.jquery.com/jquery.min.js	E:/MIT%20Launch%20Club/MIT/code.jquery.com/jquery.min.js	(from http://mitlaunch.com/)
22:24:55	13848/13848	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Aug%202016%2002:24:55%20GMT	http://mitlaunch.com/assets/favicons/manifest.json	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/manifest.json	(from http://mitlaunch.com/)
22:24:55	1150/1150	U-----	200	untouched ('')	image/x-icon	etag:W/%2255e87487-47e%22	http://mitlaunch.com/assets/favicon.ico	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicon.ico	(from http://mitlaunch.com/)
22:24:55	43/43	U-----	200	untouched ('')	image/gif	etag:%22221d8352905f2c38b3cb2bd191d630b0%22	https://d5nxst8fruw4z.cloudfront.net/atrk.gif?account=H4UGn1QolK10Io	E:/MIT%20Launch%20Club/MIT/d5nxst8fruw4z.cloudfront.net/atrk1692.gif	(from http://mitlaunch.com/)
22:24:56	3725/3725	U--M-Z	200	updated ('OK')	application/javascript	date:Sun,%2024%20Jul%202016%2012:05:25%20GMT	https://d31qbv1cthcecs.cloudfront.net/atrk.js	E:/MIT%20Launch%20Club/MIT/d31qbv1cthcecs.cloudfront.net/atrk.js	(from http://mitlaunch.com/)
22:24:56	3016/3016	U-----	200	untouched ('')	image/png	etag:%2255eac604-bc8%22	http://mitlaunch.com/assets/favicons/apple-icon-57x57.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-57x57.png	(from http://mitlaunch.com/)
22:24:56	3177/3177	U-----	200	untouched ('')	image/png	etag:%2255eac604-c69%22	http://mitlaunch.com/assets/favicons/apple-icon-60x60.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-60x60.png	(from http://mitlaunch.com/)
22:24:56	3870/3870	U-----	200	untouched ('')	image/png	etag:%2255eac604-f1e%22	http://mitlaunch.com/assets/favicons/apple-icon-72x72.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-72x72.png	(from http://mitlaunch.com/)
22:24:56	4109/4109	U-----	200	untouched ('')	image/png	etag:%2255eac604-100d%22	http://mitlaunch.com/assets/favicons/apple-icon-76x76.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-76x76.png	(from http://mitlaunch.com/)
22:24:57	6604/6604	U-----	200	untouched ('')	image/png	etag:%2255eac604-19cc%22	http://mitlaunch.com/assets/favicons/apple-icon-114x114.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-114x114.png	(from http://mitlaunch.com/)
22:24:57	9129/9129	U-----	200	untouched ('')	image/png	etag:%2255eac604-23a9%22	http://mitlaunch.com/assets/favicons/apple-icon-144x144.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-144x144.png	(from http://mitlaunch.com/)
22:24:57	7046/7046	U-----	200	untouched ('')	image/png	etag:%2255eac604-1b86%22	http://mitlaunch.com/assets/favicons/apple-icon-120x120.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-120x120.png	(from http://mitlaunch.com/)
22:24:57	12864/12864	U-----	200	untouched ('')	image/png	etag:%2255eac603-3240%22	http://mitlaunch.com/assets/favicons/apple-icon-180x180.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-180x180.png	(from http://mitlaunch.com/)
22:24:57	9976/9976	U-----	200	untouched ('')	image/png	etag:%2255eac603-26f8%22	http://mitlaunch.com/assets/favicons/apple-icon-152x152.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-152x152.png	(from http://mitlaunch.com/)
22:24:58	13472/13472	U-----	200	untouched ('')	image/png	etag:%2255eac604-34a0%22	http://mitlaunch.com/assets/favicons/android-icon-192x192.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/android-icon-192x192.png	(from http://mitlaunch.com/)
22:24:58	1701/1701	U-----	200	untouched ('')	image/png	etag:%2255eac603-6a5%22	http://mitlaunch.com/assets/favicons/favicon-32x32.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/favicon-32x32.png	(from http://mitlaunch.com/)
22:24:58	5402/5402	U-----	200	untouched ('')	image/png	etag:%2255eac603-151a%22	http://mitlaunch.com/assets/favicons/favicon-96x96.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/favicon-96x96.png	(from http://mitlaunch.com/)
22:24:58	109534/109534	U-----	200	untouched ('OK')	text/css	etag:W/%2256f9c7cd-1abde%22	http://mitlaunch.com/assets/css/bootstrap.min.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/bootstrap.min.css	(from http://mitlaunch.com/)
22:25:02	1153/1153	U-----	200	untouched ('')	image/png	etag:%2255eac603-481%22	http://mitlaunch.com/assets/favicons/favicon-16x16.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/favicon-16x16.png	(from http://mitlaunch.com/)
22:25:02	2575/2575	U-----	200	untouched ('')	application/javascript	etag:W/%2255c8eb52-a0f%22	http://mitlaunch.com/assets/js/retina.min.js	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/js/retina.min.js	(from http://mitlaunch.com/)
22:25:02	1476/1476	U-----	200	untouched ('OK')	text/css	etag:W/%2257b4a395-5c4%22	http://mitlaunch.com/assets/css/owl.carousel.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/owl.carousel.css	(from http://mitlaunch.com/)
22:25:03	1665/1665	U-----	200	untouched ('OK')	text/css	etag:W/%2255c8eb56-681%22	http://mitlaunch.com/assets/css/owl.theme.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/owl.theme.css	(from http://mitlaunch.com/)
22:25:03	4476/4476	U-----	200	untouched ('OK')	text/css	etag:W/%2255c8eb55-117c%22	http://mitlaunch.com/assets/css/owl.transitions.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/owl.transitions.css	(from http://mitlaunch.com/)
22:25:03	7782/7782	U-----	200	untouched ('OK')	text/css	etag:W/%2255c8eb56-1e66%22	http://mitlaunch.com/assets/css/magnific-popup.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/magnific-popup.css	(from http://mitlaunch.com/)
22:25:03	1354/1354	U-----	200	untouched ('OK')	text/css	etag:W/%2255c8eb56-54a%22	http://mitlaunch.com/assets/css/jquery.fs.wallpaper.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/jquery.fs.wallpaper.css	(from http://mitlaunch.com/)
22:25:04	5378/5378	U-----	200	untouched ('OK')	text/css	etag:W/%2255d0b361-1502%22	http://mitlaunch.com/assets/css/timeline.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/timeline.css	(from http://mitlaunch.com/)
22:25:04	23635/23635	U-----	200	untouched ('OK')	text/css	etag:W/%2256a97448-5c53%22	http://mitlaunch.com/assets/css/vitality-orange-full.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/vitality-orange-full.css	(from http://mitlaunch.com/)
22:25:04	2584/2584	U-----	200	untouched ('')	image/png	etag:%2255cfbba4-a18%22	http://mitlaunch.com/assets/logo-nav@2x.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/logo-nav@2x.png	(from http://mitlaunch.com/)
22:25:05	28435/28435	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2022%20Aug%202016%2002:25:04%20GMT	http://mitlaunch.com/program.html	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/program.html	(from http://mitlaunch.com/)
22:25:05	119056/119056	U-----	200	untouched ('')	image/png	etag:%2255cfbbb0-1d110%22	http://mitlaunch.com/assets/bg-header-v.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/bg-header-v.png	(from http://mitlaunch.com/)
22:25:06	24785/24785	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2022%20Aug%202016%2002:25:05%20GMT	http://mitlaunch.com/clubs/	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/clubs/index.html	(from http://mitlaunch.com/)
22:25:06	31199/31199	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2022%20Aug%202016%2002:25:05%20GMT	http://mitlaunch.com/about.html	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/about.html	(from http://mitlaunch.com/)
22:25:06	10812/10812	U-----	200	untouched ('')	image/png	etag:%2255cfbba4-2a3c%22	http://mitlaunch.com/assets/launch-logo.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/launch-logo.png	(from http://mitlaunch.com/)
22:25:06	14253/14253	U-----	200	untouched ('')	image/png	etag:%2255cfbb91-37ad%22	http://mitlaunch.com/assets/mit-launch.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/mit-launch.png	(from http://mitlaunch.com/)
22:25:07	26711/26711	U-----	200	untouched ('OK')	text/css	etag:%220831cba6a670e405168b84aa20798347%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	E:/MIT%20Launch%20Club/MIT/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://mitlaunch.com/)
22:25:07	5607/5607	U-----	200	untouched ('')	application/javascript	etag:W/%2255c8eb53-15e7%22	http://mitlaunch.com/assets/js/jquery.easing.min.js	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/js/jquery.easing.min.js	(from http://mitlaunch.com/)
22:25:07	1835/1835	U-----	200	untouched ('')	application/javascript	etag:W/%2255c8eb53-72b%22	http://mitlaunch.com/assets/js/classie.js	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/js/classie.js	(from http://mitlaunch.com/)
22:25:07	881/881	U-----	200	untouched ('')	application/javascript	etag:W/%2255c8eb53-371%22	http://mitlaunch.com/assets/js/cbpAnimatedHeader.js	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/js/cbpAnimatedHeader.js	(from http://mitlaunch.com/)
22:25:07	52794/52794	U-----	200	untouched ('')	application/javascript	etag:W/%2256a92ce2-ce3a%22	http://mitlaunch.com/assets/js/owl.carousel.js	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/js/owl.carousel.js	(from http://mitlaunch.com/)
22:25:08	20246/20246	U-----	200	untouched ('')	application/javascript	etag:W/%2255c8eb53-4f16%22	http://mitlaunch.com/assets/js/jquery.fs.wallpaper.js	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/js/jquery.fs.wallpaper.js	(from http://mitlaunch.com/)
22:25:08	168/168	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Aug%202016%2002:25:07%20GMT	http://mitlaunch.com/assets/js/jquery.magnific-popup/jquery.magnific-popup.min.js	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/js/jquery.magnific-popup/jquery.magnific-popup.min.html	(from http://mitlaunch.com/)
