date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:23	168/168	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Aug%202016%2002:04:22%20GMT	http://mitlaunch.com/robots.txt		(from )
22:04:23	13848/13848	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Aug%202016%2002:04:23%20GMT	http://mitlaunch.com/	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/index.html	(from )
22:04:24	3725/3725	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2017%20Aug%202016%2019:00:46%20GMT	https://d31qbv1cthcecs.cloudfront.net/atrk.js	E:/MIT%20Launch%20Club/MIT/d31qbv1cthcecs.cloudfront.net/atrk.js	(from http://mitlaunch.com/)
22:04:25	43/43	---M--	200	added ('OK')	image/gif	etag:%22221d8352905f2c38b3cb2bd191d630b0%22	https://d5nxst8fruw4z.cloudfront.net/atrk.gif?account=H4UGn1QolK10Io	E:/MIT%20Launch%20Club/MIT/d5nxst8fruw4z.cloudfront.net/atrk1692.gif	(from http://mitlaunch.com/)
22:04:25	95821/95821	---M-Z	200	added ('OK')	application/javascript	etag:%2254499a48-1764d%22	http://code.jquery.com/jquery.min.js	E:/MIT%20Launch%20Club/MIT/code.jquery.com/jquery.min.js	(from http://mitlaunch.com/)
22:04:26	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2255e87487-47e%22	http://mitlaunch.com/assets/favicon.ico	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicon.ico	(from http://mitlaunch.com/)
22:04:26	3016/3016	---M--	200	added ('OK')	image/png	etag:%2255eac604-bc8%22	http://mitlaunch.com/assets/favicons/apple-icon-57x57.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-57x57.png	(from http://mitlaunch.com/)
22:04:26	3177/3177	---M--	200	added ('OK')	image/png	etag:%2255eac604-c69%22	http://mitlaunch.com/assets/favicons/apple-icon-60x60.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-60x60.png	(from http://mitlaunch.com/)
22:04:26	3870/3870	---M--	200	added ('OK')	image/png	etag:%2255eac604-f1e%22	http://mitlaunch.com/assets/favicons/apple-icon-72x72.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-72x72.png	(from http://mitlaunch.com/)
22:04:27	4109/4109	---M--	200	added ('OK')	image/png	etag:%2255eac604-100d%22	http://mitlaunch.com/assets/favicons/apple-icon-76x76.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-76x76.png	(from http://mitlaunch.com/)
22:04:27	6604/6604	---M--	200	added ('OK')	image/png	etag:%2255eac604-19cc%22	http://mitlaunch.com/assets/favicons/apple-icon-114x114.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-114x114.png	(from http://mitlaunch.com/)
22:04:27	7046/7046	---M--	200	added ('OK')	image/png	etag:%2255eac604-1b86%22	http://mitlaunch.com/assets/favicons/apple-icon-120x120.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-120x120.png	(from http://mitlaunch.com/)
22:04:28	9129/9129	---M--	200	added ('OK')	image/png	etag:%2255eac604-23a9%22	http://mitlaunch.com/assets/favicons/apple-icon-144x144.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-144x144.png	(from http://mitlaunch.com/)
22:04:28	9976/9976	---M--	200	added ('OK')	image/png	etag:%2255eac603-26f8%22	http://mitlaunch.com/assets/favicons/apple-icon-152x152.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-152x152.png	(from http://mitlaunch.com/)
22:04:29	12864/12864	---M--	200	added ('OK')	image/png	etag:%2255eac603-3240%22	http://mitlaunch.com/assets/favicons/apple-icon-180x180.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/apple-icon-180x180.png	(from http://mitlaunch.com/)
22:04:29	1701/1701	---M--	200	added ('OK')	image/png	etag:%2255eac603-6a5%22	http://mitlaunch.com/assets/favicons/favicon-32x32.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/favicon-32x32.png	(from http://mitlaunch.com/)
22:04:29	1153/1153	---M--	200	added ('OK')	image/png	etag:%2255eac603-481%22	http://mitlaunch.com/assets/favicons/favicon-16x16.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/favicon-16x16.png	(from http://mitlaunch.com/)
22:04:30	5402/5402	---M--	200	added ('OK')	image/png	etag:%2255eac603-151a%22	http://mitlaunch.com/assets/favicons/favicon-96x96.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/favicon-96x96.png	(from http://mitlaunch.com/)
22:04:30	13472/13472	---M--	200	added ('OK')	image/png	etag:%2255eac604-34a0%22	http://mitlaunch.com/assets/favicons/android-icon-192x192.png	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/android-icon-192x192.png	(from http://mitlaunch.com/)
22:04:30	13848/13848	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Aug%202016%2002:04:29%20GMT	http://mitlaunch.com/assets/favicons/manifest.json	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/favicons/manifest.11.delayed	(from http://mitlaunch.com/)
22:04:31	109534/109534	---MCZ	200	added ('OK')	text/css	etag:W/%2256f9c7cd-1abde%22	http://mitlaunch.com/assets/css/bootstrap.min.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/bootstrap.min.css	(from http://mitlaunch.com/)
22:04:31	2575/2575	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255c8eb52-a0f%22	http://mitlaunch.com/assets/js/retina.min.js	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/js/retina.min.js	(from http://mitlaunch.com/)
22:04:31	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%220831cba6a670e405168b84aa20798347%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	E:/MIT%20Launch%20Club/MIT/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from http://mitlaunch.com/)
22:04:32	1476/1476	---MCZ	200	added ('OK')	text/css	etag:W/%2257b4a395-5c4%22	http://mitlaunch.com/assets/css/owl.carousel.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/owl.carousel.css	(from http://mitlaunch.com/)
22:04:32	1665/1665	---MCZ	200	added ('OK')	text/css	etag:W/%2255c8eb56-681%22	http://mitlaunch.com/assets/css/owl.theme.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/owl.theme.css	(from http://mitlaunch.com/)
22:04:32	4476/4476	---MCZ	200	added ('OK')	text/css	etag:W/%2255c8eb55-117c%22	http://mitlaunch.com/assets/css/owl.transitions.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/owl.transitions.css	(from http://mitlaunch.com/)
22:04:32	7782/7782	---MCZ	200	added ('OK')	text/css	etag:W/%2255c8eb56-1e66%22	http://mitlaunch.com/assets/css/magnific-popup.css	E:/MIT%20Launch%20Club/MIT/mitlaunch.com/assets/css/magnific-popup.css	(from http://mitlaunch.com/)
